pmid,title,authors,year,journal,abstract,domains
41804967,Assessment of Hepatic Fibrosis Through Radiomics Models Utilizing Diffusion-Based Virtual Magnetic Resonance Elastography.,Liu Hua-Shan et al.,2026,Journal of computer assisted tomography,"To investigate the potential of the radiomic features derived from the diffusion magnetic resonance imaging (MRI)-based elastography in identifying patients with different liver fibrosis stages. Data from 151 patients with liver fibrosis, collected between January 2018 and August 2021, were included. Liver fibrosis staging was determined using histopathology from surgical resection specimens, assessed by the METAVIR scoring system, with significant fibrosis defined as ≥F2 and advanced fibrosis as ≥F3. Shifted apparent diffusion coefficient (sADC) and virtual MR elastography (vMRE) were calculated from the diffusion-weighted imaging (DWI) technique with b values of 200 and 1500 s/mm2. A total of 3222 radiomic features were extracted. A support vector machine was applied to build a classification model with radiomic features. We compared the results of models constructed by the mean values of MRE, radiomic features of sADC, vMRE, and sADC + vMRE in identifying significant and advanced liver fibrosis. The corresponding radiomics scores were also applied in each subject for comparison. sADC and vMRE data without clinical data provided better classification performance than that of combined features of imaging and clinical data. As compared with MRE, the radiomics model derived from sADC + vMRE yielded higher AUCs of 0.90 and 0.91 in identifying significant and advanced liver fibrosis stages, respectively. Radiomics scores achieved a comparable AUC of 0.91. The radiomics scores of sADC + vMRE were significantly correlated with the pathologic fibrosis stage. The application of radiomics in sADC and vMRE performed well to identify different stages of liver fibrosis. Radiomics applied to sADC and vMRE may provide complementary information that is associated with histopathologic changes.",
41804810,"A battery-free, wireless graphene pressure sensor for machine learning-assisted posture classification and VR/AR visualization in smart healthcare environments.",Choi Myungwoo et al.,2026,Materials horizons,"Continuous monitoring of pressure and temperature at skin interfaces is essential for preventing tissue damage and circulation-related complications in immobile patients. However, most existing healthcare pressure sensors remain bulky, wired, and battery-powered, which limit their suitability for long term use. Here, we report a battery-free, wireless multimodal sensing platform in which single-layer graphene functions as a high-performance pressure-sensing active layer, achieving high sensitivity (1.75 × 10-3 kPa-1, gauge factor = 8.6) and excellent stability (over 1000 operational cycles). The platform enables real-time, reversible detection of pressure and temperature at the skin-device interfaces without external power source. By leveraging deep-learning algorithms, particularly deep neural networks (DNNs), the acquired signals are classified into distinct sitting postures, thereby enabling intelligent and continuous monitoring of patient status. Furthermore, integrated augmented- and virtual-reality (AR/VR) interfaces visualize pressure distributions in real time, enabling immersive and remote healthcare oversight. Collectively, this work introduces a graphene-based smart sensing platform that seamlessly integrates wireless operation, AI-driven analytics, and AR/VR visualization for advanced patient monitoring as a sort of personalized and interactive smart healthcare.",
41803985,"Adaptations to an implementation study for integrating hypertension management into HIV care in Lagos, Nigeria: application of the FRAME.",Nwankwo Chioma Hope et al.,2026,Implementation science communications,"Implementation strategies are dynamic and multi-faceted, and may require adaptations to fit implementation contexts, especially in lower-and-middle income countries. We report the adaptations for an ongoing late-stage implementation science trial (R01HL147811) that integrates hypertension management into HIV care in Lagos, Nigeria - a country with a high dual-disease burden - through the Task Strengthening Strategy for Hypertension (TASSH) intervention and Practice Facilitation implementation strategy. FRAME (Framework for Reporting Adaptations and Modifications-Enhanced) modules were used to record adaptations to the intervention (i.e., TASSH) respectively, enhance participant recruitment and retention rates, and increase frequency of trainings. Data collection sources included (not limited to) patient records, nurses' logs, and minutes of implementation review meetings. Data across these sources was coded retrospectively by trained research staff and triangulated during virtual meeting discussions. Once consensus was reached, data was mapped onto the relevant framework modules using Microsoft Excel. We modified FRAME to include an additional component on 'what was originally planned' for the context of the adaptations. There were twelve adaptations identified during the implementation of the study. The adaptations characterized by using the frameworks included reordering recruitment start dates of study cohorts, providing patients incentives to attend follow-up visits, adding feeder sites to the study sites, and increasing the frequency of training to account for the high nurse turnover in the primary healthcare centers. Overall, 25% of the adaptations involved expanding the structure of the intervention and implementation strategies, and 33% involved adding new elements to the strategies. All adaptations occurred in the implementation phase of the trial. Based on our experiences, the characterization of the adaptations using FRAME demonstrates their combined applicability to an ongoing trial that can be tailored to fit the local context. ClinicalTrials.gov ( NCT04704336). Registered on 11 January 2021.",D5: Completionism
41803975,Evaluating sex and gender as separate and interactive predictors of memory aging trajectory classes: an integrative data-driven approach.,Bohn Linzy et al.,2026,Biology of sex differences,"A priority in aging and dementia research is to integrate sex (biological attribute) and gender (sociocultural/behavioural characteristics) in theories, designs, analyses, and intervention protocols. We recently reported a data-mining procedure for operationalizing empirically-derived composite gender variables in archival databases. The present study extends the prior cross-sectional approach by examining sex and gender as separate and interactive predictors of longitudinal data-driven memory trajectory classes. Participants (N = 746) contributed baseline data for binary sex (female/male), education (years), and empirically-derived composite variables representing complementary gender facets. These facets included Manual Tasks and Physical Activities; Social and Household Management; Leisure, Socializing, and Travel; Cognitive Activity and Brain Games; Health Perceptions and Practices; and Subjective Memory Beliefs. We integrated these into a longitudinal episodic memory trajectory distribution spanning 42 years (53-95) of aging. Data-driven latent class growth analysis (LCGA) on the trajectory distribution identified discriminable classes. Using the R3STEP approach, we separately tested sex, gender facets, and education as predictors of membership in the higher (healthier) trajectory classes relative to the lowest (benchmark) class. We then included interaction terms to test for sex moderation of gender effects. Finally, we identified all genotyped participants and tested whether sex and gender effects were moderated by Apolipoprotein E (APOE). LCGA revealed three memory classes: High-Stable (highest level/relatively stable), Moderate/Normal-Declining (average level/moderate decline), and Low-Declining (lowest level/steepest decline). Several variables separately predicted High-Stable membership. For sex, females were more likely than males to belong to this class. For gender, (a) higher scores for Social and Household Management, Cognitive Activity and Brain Games, and Subjective Memory Beliefs predicted High-Stable membership; and (b) higher scores for Manual Tasks and Physical Activities and Health Perceptions and Practices decreased the likelihood of High-Stable membership (relative to Low-Declining). Moderate/Normal-Declining membership was predicted by Social and Household Management (higher). For education, more years predicted High-Stable membership. Moderation analyses indicated that gender effects were consistent across both sexes and APOE carrier status. Data-driven analyses show that biological sex and measurable facets of gender differentially contribute to memory trajectory patterns over a 42-year span of cognitively unimpaired aging.",
41803665,Clinical Needs and Care Delivered Through a Pilot Rural Pediatric Virtual Dental Home.,Tse Katherine et al.,2026,Pediatric dentistry,"Purpose: To describe the clinical needs and care rendered to children participating in a virtual dental home (VDH) program at a rural school in Tuolumne County, CA, USA, from 2021 to 2023. Methods: The VDH pilot program, operated at a public elementary school in rural northern California and provided dental care using teledentistry for students from kindergarten through eighth grade. Data collection included an exported report of all data elements from the electronic health record. A single study clinician reviewed clinical notes and procedure codes to ensure accuracy in data exports for data collected in academic years 2021 to 2023. Descriptive statistics were generated for demographic characteristics, clinical needs, referrals, and care rendered. Results: A total of 53 patients were enrolled, with the majority classified as high caries risk. The program recorded 160 visits for 35 unique patients in the first academic year and 173 visits for 46 in the second. Over 87% of procedures completed were for examinations and preventive services. The program achieved several Healthy People 2030 oral health targets, including a high incidence of preventive dental visits and sealants. However, it underperformed in reducing the prevalence of untreated caries. Conclusions: The school-based virtual dental home program effectively provided preventive dental treatment, minimized barriers to care, and improved access to services in a Dental Health Provider Shortage Area. Teledentistry proved effective for pediatric dentistry in preventive treatment, minimally invasive care, and referrals, highlighting the potential of VDH models in reducing dental care gaps in underserved areas.",D5: Completionism
41803233,Immersive competence as a source of bias in virtual reality clinical assessment.,Schaal Jan et al.,2026,NPJ digital medicine,"Virtual reality (VR) is increasingly used for assessment in educational and clinical settings. However, users' immersive competence (IC)-the ability to navigate and operate VR systems-may introduce bias unrelated to clinical skills or patient functioning. In this randomized controlled trial, 88 medical students received either general IC training, general+specific IC training, or no structured training before completing a VR-based assessment scenario. Multimodal data were collected, including electrodermal activity, cognitive-load ratings, procedural efficiency, and usability barriers. Specific IC training improved performance compared with control (28.3% ± 10.3% vs. 21.2% ± 10.8%, p = 0.010, d = 0.67), moderated by procedural efficiency and increased cognitive load. Prior 3D experience did not predict performance in the control group, likely due to a floor effect, but did in the specific training group. These findings indicate that IC is a causal, modifiable factor in VR-based assessments and should be considered to ensure fair and valid evaluations.",
41802958,Enhancing ECG Competency for Physician Assistants: An Assessment of Structure and Modality.,Yuan Jeanetta,2026,Journal of allied health,"Electrocardiogram (ECG) interpretation is a critical skill for physician assistants (PAs), yet numerous studies have identified persistent gaps in ECG competency across all levels of medical training. This mixed-methods study evaluated the impact of implementing a structured and focus ECG training session within the PA curriculum prior to the clinical phase. The study included two cohorts (n=54) who received varied formats and timing of ECG instructions. Cohort I (n=27) participated in virtual synchronous lectures during the final didactic semester, while Cohort II attended in-person lectures earlier in the curriculum. Quantitative outcomes were measured through pre- and post-lecture quizzes, while qualitative data were collected via student surveys and preceptor feedback. Results indicated that Cohort II demonstrated some improvements in test scores and received higher preceptor ratings for clinical ECG performance, suggesting that earlier, in-person, and structured instruction may enhance skill acquisition. Students favored systematic teaching methods and expressed a preference for additional educational resources beyond textbooks. Incorporating focused and structured in-person ECG training in the PA curriculum may contribute to better preparedness and improved patient care outcomes.",
41802928,Evaluation of the Psychometric Properties for a Turkish Version of the Conformity to Masculine Norms Inventory-30.,Tarsuslu Bedia et al.,2026,American journal of men's health,"Although many forms of the Conformity to Masculine Norms Inventory (CMNI) are widely used in international literature, there is yet to be a Turkish version. The CMNI-30 is an instrument consisting of 30 statements developed to measure masculinity ideologies, with statements representing different behaviors associated with masculinity. The CMNI-30 has proven reliable and valid across different languages and cultures. This study evaluated the psychometric properties of the Turkish version of the CMNI-30. Tested with 1,091 Turkish men, data were collected after content validation with the 10-factor model of the CMNI-30, indicating good construct validity. Also, convergent validity, Cronbach's alpha coefficient, item-total score analysis, and test-retest analyses were applied. Confirmatory factor analysis showed that the CMNI-30 was similar to its original structure, and all factor loadings were above 0.30. The fit indices were >0.85, and the root mean square error of approximation value was <0.05. Cronbach's alpha value was calculated as 0.871. Item-total correlations ranged between .253 and .541, and the test-retest correlation was found to be r = .344 (p < .001). Convergent validity analysis showed a significant positive relationship between CMNI-30 and Male Role Norms Scale. These findings provide preliminary evidence for the validity and reliability of the Turkish version of the CMNI-30.",D4: Inventory / virtual possession
41802789,MULTIsite feasibility of MUSIc therapy to address Quality Of Life in Sickle cell disease (MULTI-MUSIQOLS): protocol for a mixed-methods randomised controlled trial at two US medical centres.,Rodgers-Melnick Samuel N et al.,2026,BMJ open,"Accessible, person-centred, non-pharmacologic modalities are needed to address chronic pain and health-related quality of life (HRQoL) among individuals with sickle cell disease (SCD). Building off prior single-site pilot studies of music therapy (MT) in SCD, the purpose of this study is to (1) examine the data collection processes and intervention implementation overall and across two sites and (2) evaluate the implementation of the MT and health education interventions using quantitative and qualitative data. This three-arm, two-site, feasibility randomised controlled trial will include 90 individuals ≥14 years who have SCD, chronic pain and access to a mobile device who are not currently engaged in mind-body pain management interventions under the supervision of a healthcare professional. Participants will be randomised to six sessions over 8 weeks of either: (1) in-person MT, (2) hybrid (one in-person, five virtual) MT or (3) hybrid health education. Patient-reported outcome measures of HRQoL and self-efficacy will be assessed at baseline, post-intervention and 6 weeks post-intervention. 24 participants (eight per arm) and 20 stakeholders (eg, haematologists, music therapists, nurses) will be invited to complete semi-structured interviews to further examine intervention acceptability, perceived benefits and implementation. Sessions will be monitored for fidelity, and participants lacking access to home internet or videoconferencing technology will be provided tablets to engage in virtual sessions. Feasibility will be determined by rates of data completion, recruitment, retention, session attendance and home practice. This study was approved by the University Hospitals Cleveland Medical Center Institutional Review Board (STUDY20231055). The dissemination plan includes presenting findings at national and international scientific conferences and publishing in peer-reviewed journals. All activities will be conducted in collaboration with SCD community stakeholders. NCT06853158.",D5: Completionism
41802000,Associations of nonsteroidal anti-inflammatory drug use with periodontal disease in postmenopausal women: The OsteoPerio study.,Miller Connor R et al.,2026,Journal of periodontology,"Periodontal disease is characterized in part by a host immune-inflammatory response that releases proteolytic enzymes, which damage periodontal tissue. Nonsteroidal anti-inflammatory drugs (NSAIDs) modulate host immune-inflammatory responses. We investigated cross-sectional and prospective relationships between NSAID use and indicators of periodontal disease, for which there is limited epidemiologic evidence. Data were from the Buffalo OsteoPerio Study of 1342 postmenopausal women ages 53-81 years. Periodontal assessments included measurements of alveolar crestal height (ACH), probing pocket depth (PPD), clinical attachment level (CAL), and gingival bleeding, taken at baseline (1997-2001) and 5 years later. Prospective outcomes included measures of periodontal disease progression defined by ACH loss, incident tooth loss, and gingival bleeding. NSAID use was assessed via medication inventory at baseline. Demographic, lifestyle, dental hygiene, and medical history information were collected. Multivariable linear and logistic regression modeling was used to examine associations between NSAID use and periodontal health outcomes. At baseline, 45.8% of participants used NSAIDs, half of whom exclusively used aspirin. No significant cross-sectional differences in periodontal measures were found between NSAID users and nonusers. Prospectively, NSAID users had 37% lower odds of periodontal disease progression defined by ACH loss (odds ratio [OR] 0.63, 95% confidence interval; [CI]: 0.45-0.88), after controlling for demographic variables, lifestyle factors, comorbidities, and dental hygiene behaviors. Prospective associations with PPD, CAL, gingival bleeding, and tooth loss were of variable magnitude and did not achieve statistical significance. In a cohort of postmenopausal women with well-characterized clinical periodontal measurements, use of NSAIDs at baseline was associated with lower odds of periodontal disease progression defined by ACH loss over 5 years of follow-up. NSAID use was not associated with changes to PPD, CAL, gingival bleeding, or tooth loss. Periodontal disease, a common condition characterizing poor oral health, can worsen over time due to the body's inflammatory response, which damages the tissues supporting teeth. Nonsteroidal anti-inflammatory drugs (NSAIDs), like aspirin, can reduce inflammation, but whether they have any role in preventing periodontal disease has not been well-studied. We explored this connection in more than 1,300 postmenopausal women from the Buffalo OsteoPerio Study, tracking their oral health over 5 years. At the start, nearly half of the women reported using NSAIDs, mostly aspirin. While NSAID users and nonusers had similar gum health at the beginning, we found that women who used NSAIDs had a 37% lower odds of losing the bone that supports their teeth over the next 5 years. This protective association remained even after accounting for age, lifestyle, medical conditions, and dental care habits. However, NSAID use was not associated with other measures of oral health, like gum bleeding, pocket depth around teeth, or tooth loss. These findings suggest that NSAIDs may help slow some aspects of periodontal disease progression, but their overall effects on oral health remain unclear. Understanding how common medications like NSAIDs affect oral health could guide strategies to protect against gum disease in older adults.",D4: Inventory / virtual possession
41801784,Collaborative Problem Solving in Mixed Reality: A Study on Visual Graph Analysis.,Garkov Dimitar et al.,2026,IEEE transactions on visualization and computer graphics,"Problem solving is a composite cognitive process, invoking a number of cognitive mechanisms, such as perception and memory. Individuals may form collectives to solve a given problem together in collaboration, especially when complexity is perceived to be high. To determine if and when collaborative problem solving is desired in the context of visual graph analysis, we compare ad hoc pairs to individuals and nominal pairs, when solving different tasks in mixed reality. We discuss the results of an experiment with 72 participants performed in two countries and three languages. We apply the concept of task instance complexity to quantify the visual demand of tasks used in the experiment. Our results show the importance of using nominal groups as a benchmark for evaluating collaborative virtual environments. We conclude that 3D graph representation is not sufficient to induce better collaborative results compared to the benchmark.",
41801754,Do the Beck Depression Inventory-II and Beck Hopelessness Scale reliably capture systematic change and within-person variation? Evidence from generalizability theory.,Glatt Sofie et al.,2026,Psychological assessment,"Depressive symptoms and hopelessness are central to suicidal states and various psychiatric conditions. The Beck Depression Inventory-II and Beck Hopelessness Scale are widely used measures in clinical and research contexts to evaluate the severity of these conditions. Although both scales demonstrate strong psychometric properties for assessing between-person differences, their sensitivity to within-person variation across repeated measures has not been evaluated in psychiatric populations. Generalizability theory provides a framework to partition variance from multitime-point assessments into meaningful sources (i.e., person, time, item, and their interactions), enabling the estimation of two complementary reliability coefficients that we evaluated in the present study: reliability of individual differences in change (Rc), with fixed items and time, and reliability of within-person variation averaged across items, with time nested within persons (Rcn). Up to four waves of data across 1 year were collected from 157 treatment-seeking veterans at risk of suicide enrolled in a suicide safety planning randomized clinical trial. Variance decomposition analysis was conducted via crossed and nested multilevel models. Individual differences in change accounted for 15% of the variance for both measures (crossed design, N = 87), and within-person variation accounted for 17%-19% (nested design, N = 157). Rc and Rcn coefficients exceeded .80. These findings indicate that the Beck Depression Inventory-II and Beck Hopelessness Scale reliably capture individual differences in change and within-person variation of moderate magnitude in depressive and hopelessness symptoms. Future work should examine their sensitivity to change and variation across different contexts, timescales, and populations. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",D4: Inventory / virtual possession
41801066,Integrating Patient-Reported Quality Measures in SLE: Development of the American College of Rheumatology Implementation Guide.,Nasrallah Catherine et al.,2026,Arthritis care & research,"To support high-quality, patient-centered care for systemic lupus erythematosus (SLE), the American College of Rheumatology (ACR) developed evidence-based measures incorporating clinical and patient-reported outcomes measures (PROMs). Using the Consolidated Framework for Implementation Research (CFIR), we conducted semi-structured interviews with rheumatologists and support staff who piloted these measures. Insights from these interviews informed development of the SLE Quality Measures Implementation Guide for national dissemination. Five rheumatology practices were selected to pilot workflows for collecting SLE PROMs recommended in recent ACR guidelines for at least 50 consecutive patients. Measures included: physical function (PF) and depression. After data collection, representatives from each practice participated in virtual semi-structured interviews. Interviews were recorded, transcribed verbatim, and analyzed thematically using both deductive and inductive techniques. Findings were used to develop the SLE Quality Measures Implementation Guide. Thirty-one clinicians across five practices participated in the pilot. Interviews with eight participants identified key themes related to innovations, resources, best practices, and challenges in collecting and using SLE PROMs, mapped to CFIR domains. Despite barriers related to workflow, engagement, and resources, PROM implementation in SLE care was well accepted and supported standardized assessment of mental health and PF through communication and electronic health records (EHR) integration. These insights informed development of the SLE Quality Measures Implementation Guide featuring guidelines, workflow recommendations, best practices, and educational resources to improve workflow efficiency and enhance patient care. This study evaluated the implementation of ACR-recommended SLE PROMs and provides actionable recommendations and resources to address challenges through the SLE Quality Measures Implementation Guide.",D5: Completionism
41800447,The influence of age and gender on self-assessment of piano competencies.,Chen Chen et al.,2025,Frontiers in psychology,"This study examined how pianists assess their own abilities in four areas: technical proficiency, musical understanding, expressive control, and presentation skills. Participants included piano students and professional pianists, all with at least ten years of experience. Results were compared across age and gender groups. The study involved 600 participants divided into three age groups: 13- to 15-year-olds (M = 14.2, SD = 2.01), 23- to 24-year-olds (M = 23.8, SD = 2.24), and 36- to 42-year-olds (M = 40.4, SD = 5.38). Data were collected using the Bem Sex-Role Inventory and a custom-designed piano competency questionnaire. The statistical significance of differences between men and women in their self-assessment of performance skills was then tested. Among music college students (mean age 23.8 years)-the only group where a significant gender difference was found-men rated their technical skills higher than women did. The assessment of other subscales revealed no statistically significant differences between male and female piano players. Overall, the data do not support the idea that gender influences how pianists evaluate their own competencies. In contrast, age differences proved significant across all scales of piano competency (p = 0.00). The results indicate that pianists in older age groups rate their technique, musical literacy, expressiveness, and stage skills more highly. This increase in self-assessment is directly correlated with years of practice. The present findings can be used by music educators, parents, piano enthusiasts, and professional pianists. By understanding how age and gender shape pianists' self-perception, educators can tailor teaching methodologies to align with how students perceive their own skills.",D4: Inventory / virtual possession
41800264,"USP20, a Super-enhancer Regulated Gene, Promotes Acute Myeloid Leukemia Progression through CTNNB1 Deubiquitination.",Cheng Jia et al.,2026,International journal of biological sciences,"Acute Myeloid Leukemia (AML) is a heterogeneous hematologic malignancy driven by genetic and epigenetic alterations, where super-enhancers (SEs) play key oncogenic roles, representing promising therapeutic targets in AML. Through H3K27ac ChIP-seq profiling of 7 AML cell lines and 13 primary samples, we identified USP20 as the deubiquitinase that most frequently associated with super-enhancers. Public database analysis confirmed USP20 overexpression in AML and its correlation with adverse prognosis. Genetic knockdown of USP20 via shRNA significantly induced apoptosis and suppressed proliferation in AML cells in vitro, while in vivo depletion of USP20 attenuated leukemia development and improved overall survival. AS1517499, a novel USP20 inhibitor identified via virtual screening, recapitulated these anti-leukemic effects in vitro and in vivo with low toxicity. Mechanistically, USP20 interacts with CTNNB1 and stabilizes the CTNNB1 protein via deubiquitination. Cut&tag analysis indicated that USP20 co-localizes with CTNNB1 on the genome, where they jointly regulate target genes in AML. Collectively, our study identified USP20 as a super-enhancer-regulated oncogene maintaining AML cell survival and proliferation through CTNNB1 stabilization. Pharmacologic targeting of USP20 with AS1517499 presents a promising therapeutic strategy targeting the SE-USP20- CTNNB1 axis.",
41799947,The Effectiveness of Virtual Reality Air-to-Ground Handoff Education in Realistic Operations on Learning Among Emergency Nurses in Taiwan.,Chou Yu-Shan et al.,2026,Journal of nursing management,"This study evaluated the effectiveness of virtual reality (VR) simulation training in enhancing emergency room (ER) nurses' preparedness for air-to-ground patient handoff and psychological safety, defined as participants' perceived confidence and comfort within the training environment. Aeromedical transport is critical in regions with complex terrain or limited resources. The reception phase poses time-sensitive and environmental challenges, and insufficient training increases the risk of handoff errors and patient harm. Existing programs focus mainly on in-flight care, with little attention to reception. VR offers an immersive, standardized, and safe platform for reception training. A quasiexperimental design using a nonrandomized, sequential cohort allocation by training date with two-group repeated measures was employed. Seventy-six emergency nurses from a northern Taiwan medical center were assigned by training date to a traditional drill group (n = 33) or a VR simulation group (n = 43). The ""H.A.N.D.O.F.F."" curriculum, based on the 2024 CDC air-to-ground handoff protocol, was implemented. Outcomes included the Air-to-Ground Patient Handoff Preparedness Inventory and Psychological Safety Scale. Data were collected at baseline, postintervention, and 8 weeks and analyzed using generalized estimating equations. Baseline score refers to participants' initial preparedness prior to the intervention, and no significant differences were found between groups at baseline (p > 0.05). Postintervention, the VR group reported significantly higher preparedness and psychological safety than controls (p < 0.001), and these improvements were sustained at the 8-week follow-up (p < 0.001). This study demonstrated that VR simulation significantly improves preparedness for air-to-ground patient handoff, highlighting its practical value. Future applications may extend to military, police, and fire departments to foster interprofessional collaboration and enhance emergency response capabilities.",D4: Inventory / virtual possession
41799683,"A comprehensive taxonomic checklist of bark and ambrosia beetle species (Curculionidae, Scolytinae).",Johnson Andrew J et al.,2026,ZooKeys,"A comprehensive list of the currently (as of 17 November 2025) valid taxa of bark and ambrosia beetles of the world (Curculionidae: Scolytinae) is presented, including all tribes, genera, species (6516), and subspecies. The high diversity of scolytine species, their biosecurity significance, and the rapidly advancing understanding of their phylogenetic relationships has resulted in decentralized and often incorrect usage of names. The list represents species names accepted and used in compliance with the International Code of Zoological Nomenclature and a consensus of name usage by the community of active systematists. Species names listed here are bona fide hypotheses of biological species, but not always of confirmed biological entities; instead, the list aims to provide a foundation for the subsequent taxonomic, biological, and phylogenetic work on species resolution, and for biodiversity data management. The list is presented as a formatted checklist, as well as a Darwin-core format enabling interpolation into biodiversity information systems. Two replacement names were needed to resolve homonyms, Hylastes woodi Johnson, nom. nov. (= Hylastes niger Wood, 1974) and Taphrorychus krivolutskayae Johnson, nom. nov. (= Dryocoetes aceris Krivolutskaya, 1968).",
41798439,Factors Affecting the Functioning of Critical Medical Equipment in a Tertiary Care Hospital.,Gupta Anant et al.,2026,Cureus,"Objective In this study, we aimed to estimate the mean downtime of the commonly used equipment and to identify the causes of their downtime in a tertiary care hospital. Methods Data were collected through retrospective record analysis of commonly used hospital equipment over two years, followed by prospective data collection on the same equipment over six months to capture key maintenance parameters. Results The average downtime index for all equipment was 8.78%. It was observed that cardiac monitors had the maximum downtime at 41.8%. The main causes of downtime were inadequate maintenance at 25.28%, product failure at 14.94%, and mishandling at 14.18%. Conclusions It was observed that newer equipment experienced less downtime. A lack of spares and accessory inventory in both hospital stores and with vendors contributed to downtime. Given staff turnover and a lack of reinforcement, personnel operating the equipment were often without adequate operational knowledge. Some good maintenance practices identified included the provision of extra accessories by vendors in accordance with the terms and conditions of the tender. The main causes of downtime were inadequate maintenance, product failure, and mishandling, which together accounted for nearly half of all causes.",D4: Inventory / virtual possession; D5: Completionism
41798379,Do Medical Schools Need to Adapt Their Curriculum in Order to Teach Medical Students 'Webside' Manner? A Systematic Review.,Newnham A et al.,2025,Medical science educator,"Remote consulting was exponentially implemented secondary to the COVID-19 pandemic, and remains a staple of modern healthcare. Telemedicine consulting requires a different set of consultation skills collectively coined 'webside manner'. Evidence suggests inadequate training is a barrier to effective teleconsulting. This review aims to systematically assess the effect of telemedicine consultation skills training for medical students. A systematic literature search was conducted using MEDLINE, PsycINFO, and EMBASE. Two independent reviewers screened articles from 1 January 2010 onwards. A mixed-methods approach was undertaken. Thematic analysis identified three reporting themes. Quantitative data was reported within these themes using descriptive statistics. Study quality was assessed using the MERSQI score. In total, 241 articles were obtained, 38 extracted for full text review, and 11 included. Three themes were identified: communication skills, doctor-patient relationship, and confidence in performing virtual consultations. Six out of seven studies reported improved communication skills following telemedicine training. Three studies report a positive impact on the doctor-patient relationship. Student confidence showed improvement in all reporting studies. This review demonstrates a positive association between telemedicine training and improved virtual consultation skills for medical students. The results are limited by the low quality and heterogeneity of included studies.",
41798041,Emotional intelligence and metacognitive awareness in predicting foreign language speaking self-efficacy.,Tekin Gökçen et al.,2026,Frontiers in psychology,"Foreign language speaking proficiency is closely linked to cognitive strategies and self-regulatory processes; however, it remains unclear which aspects of individual awareness most strongly predict speaking self-efficacy. This study examines the relationship between emotional intelligence and metacognitive awareness and foreign language speaking self-efficacy. It aims to determine whether students' metacognitive awareness and emotional intelligence affect their speaking self-efficacy. The study designed using an explanatory research design, a type of correlational research method, employed a purposive sampling method, a non-random sampling method. The study aimed to reach students who were learning Turkish as a foreign language at university, knew enough Turkish to provide the necessary data, and were continuing their education to become fluent in Turkish. 113 students studying at B1 level at Bolu Abant İzzet Baysal University in the 2024-2025 academic year participated in the study. The Emotional Intelligence Scale, Metacognitive Awareness Inventory, and Speaking Self-Efficacy Scale for Turkish as a Foreign Language Learners were administered to the participants, and multiple regression analyses were conducted on the collected data. The analysis results showed a significant and positive relationship between the students' speaking self-efficacy and metacognitive awareness, while no statistically significant relationship was found between emotional intelligence and speaking self-efficacy. These findings highlight the crucial role of metacognitive awareness in enhancing foreign language speaking self-efficacy and provide insights for designing instructional practices that foster learners' self-regulation in language learning contexts.",D4: Inventory / virtual possession
41797813,Game-day temperatures are predictive of National Football League game outcomes when teams from different climates compete against each other.,Roberts Spencer S H et al.,2026,"Temperature (Austin, Tex.)","NFL teams may have an advantage over their opposition when players are more familiar with game-day temperatures; however, relationships between game-day air temperature and team performance had not been examined using official at-stadia air temperatures. Game data from 2017 to 25 were collected from NFL ""Gamebooks."" Data were extracted for games contested by a team based in a cool climate >39° N (North teams, n = 17) against a team based in a warm climate <39° N (South teams, n = 15). Data extracted included game-day temperature (°C), game location (North, South), game outcome (win, no-win [relative to North team]), and point differential (points [relative to North team]). Mixed effects logistic regressions examined whether game-day temperature associated with game outcome, while mixed effects models examined whether temperature associated with point differential. Models were run for all games combined, and for games contested in North and South locations, respectively. North team win probability declined as game-day temperature increased (OR = 0.974, 95% CI [0.951, 0.997], p = .026), and North team point differential was negatively associated with temperature (β = -0.175, 95% CI [-0.286, -0.063], p = .002). Models run according to game location revealed that North team point differential was associated with game-day temperature for games played South (β = -0.152, 95% CI [-0.242, -0.063], p = .001). In NFL games contested by North (>39° N) versus South (<39° N) teams, North teams are less likely to win and have worse point differentials, as game-day temperatures increase. Research should explore whether behavioral or psychological adaptations to familiar game-day temperatures explain these findings.",D3: Gacha / Loot box
